Rank,Team Name,Table,Score
1,Dr. Pearl's Medicinal Smoke,8,173.12
2,Smokopolis BBQ,8,171.4056
3,Blazin' Buttz BBQ,6,170.8684
4,Smokin Hoggz BBQ,7,170.2856
5,Ribs Within,10,169.7028
6,Tell You What BBQ,4,169.1084
7,Big Guns BBQ,6,168.56
8,Chicken Chokers,10,168.0344
9,Three Men & A Baby Back,7,168.0228
10,South Shore Smokers,9,167.9772
11,Boar-n-Q,1,166.88
12,Que and a Half Men,2,166.2972
13,Butch's BBQ,4,166.2972
14,Bobby Q's BBQ,8,166.2516
15,Three Dogs BBQ,1,165.0856
16,Meat@Slims,6,164
17,3 Eyz BBQ,2,163.9772
18,Primal Meat Smokers,8,163.9656
19,Pork Butt & Chicken Legs,1,163.3712
20,RxCelient Q,4,162.8688
21,Jack's Down Home Barbeque,4,162.2856
22,Smokin' Bulldogs,3,161.7144
23,The 5th Artery,7,161.6684
24,Yabba Dabba Que!,9,161.1312
25,Shortsville Smokers,1,159.9772
26,Grateful Smokers,10,158.88
27,Blackstrap BBQ,9,158.2284
28,Good Smoke BBQ,5,158.2168
29,Garden State Porkway,10,157.7256
30,Hogbutts BBQ,6,157.7144
31,Big Kev's BBQ,1,157.6684
32,Doc Bone's BBQ,3,157.166
33,ZBQ,9,156
34,Handsome Devil LLC,3,154.8456
35,Hog Snipers,6,154.274
36,Chip's Country BBQ,5,152.5484
37,All Fired Up and kicking ash,7,151.3828
38,Divone Heat,2,149.6456
39,Carmel Street Pit Crew,2,149.0744
40,Holihan's Beer Me BBQ,4,148.5372
41,Cheffie Effie BBQ,7,147.4172
42,Locked-N-Loaded,10,147.4056
43,Pop Bang Foods,8,146.7884
44,Shake-n-Bake BBQ,5,145.7144
45,Hall of the Mountain Grill,3,145.1428
46,Scarborough Fare BBQ,2,143.9084
47,Better Days BBQ,9,143.8968
48,"Double ""J""",3,142.7768
49,Packanack BBQ Club,5,141.6912
50,Babylon GriliBillies,5,139.36
